position,name,members,points,league,division
1,Active International,49,162175,PROFESSIONAL LEAGUE,DIVISION 7
2,Polska LA,47,137491,PROFESSIONAL LEAGUE,DIVISION 7
3,AC Zatopek B,50,137325,PROFESSIONAL LEAGUE,DIVISION 7
4,Weitenjager Germany,49,132106,PROFESSIONAL LEAGUE,DIVISION 7
5,Just to have Fun,50,129142,PROFESSIONAL LEAGUE,DIVISION 7
6,The Gold Olympics,48,125143,PROFESSIONAL LEAGUE,DIVISION 7
7,SALOMON,50,122784,PROFESSIONAL LEAGUE,DIVISION 7
8,Wunderteam PL,49,93621,PROFESSIONAL LEAGUE,DIVISION 7
9,Athletenschmiede 2.0,40,73933,PROFESSIONAL LEAGUE,DIVISION 7
10,Vlci smecka,42,41849,PROFESSIONAL LEAGUE,DIVISION 7
position,name,members,points,league,division
1,Active International,49,162235,PROFESSIONAL LEAGUE,DIVISION 7
2,Polska LA,47,137526,PROFESSIONAL LEAGUE,DIVISION 7
3,AC Zatopek B,50,137325,PROFESSIONAL LEAGUE,DIVISION 7
4,Weitenjager Germany,49,132171,PROFESSIONAL LEAGUE,DIVISION 7
5,Just to have Fun,50,129142,PROFESSIONAL LEAGUE,DIVISION 7
6,The Gold Olympics,48,125143,PROFESSIONAL LEAGUE,DIVISION 7
7,SALOMON,50,122784,PROFESSIONAL LEAGUE,DIVISION 7
8,Wunderteam PL,49,93621,PROFESSIONAL LEAGUE,DIVISION 7
9,Athletenschmiede 2.0,40,73933,PROFESSIONAL LEAGUE,DIVISION 7
10,Vlci smecka,42,41849,PROFESSIONAL LEAGUE,DIVISION 7
