placement,name,points, ,date,season
1,Geoff Aitken,"9,372", ,Sun Feb 21 13:59:17 2021,1
2,Perry Ben,"7,530", ,Sun Feb 21 13:59:17 2021,1
3,Kai svendsen,"6,689", ,Sun Feb 21 13:59:17 2021,1
4,Patrick Zaglauer,"6,509", ,Sun Feb 21 13:59:17 2021,1
5,Johan Blake Jr,"6,230", ,Sun Feb 21 13:59:17 2021,1
6,Bse90,"6,030", ,Sun Feb 21 13:59:17 2021,1
7,Thanasis Lamprinos,"5,800", ,Sun Feb 21 13:59:17 2021,1
8,Sigg Luggurd,"5,767", ,Sun Feb 21 13:59:17 2021,1
9,Scott Andrew Rogers,"5,485", ,Sun Feb 21 13:59:17 2021,1
10,lleveller,"5,233", ,Sun Feb 21 13:59:17 2021,1
11,Erik salve Salvesen,"5,185", ,Sun Feb 21 13:59:17 2021,1
12,Hildy12,"5,115", ,Sun Feb 21 13:59:17 2021,1
13,Ivica Kiwi,"4,786", ,Sun Feb 21 13:59:17 2021,1
14,Raymond Haukas,"4,565", ,Sun Feb 21 13:59:17 2021,1
15,Fernando Nits,"4,560", ,Sun Feb 21 13:59:17 2021,1
16,Tommy Ryan,"4,546", ,Sun Feb 21 13:59:17 2021,1
17,Alexboy,"4,485", ,Sun Feb 21 13:59:17 2021,1
18,Jesse McDermott,"4,365", ,Sun Feb 21 13:59:17 2021,1
19,BunnyNorway,"4,335", ,Sun Feb 21 13:59:17 2021,1
20,Frankie Wilde,"4,070", ,Sun Feb 21 13:59:17 2021,1
21,Norbert Jochymski,"3,995", ,Sun Feb 21 13:59:17 2021,1
22,Spine,"3,985", ,Sun Feb 21 13:59:17 2021,1
23,Yoni Navon,"3,830", ,Sun Feb 21 13:59:17 2021,1
24,DarkWin44,"3,815", ,Sun Feb 21 13:59:17 2021,1
25,Matej Pittermann,"3,782", ,Sun Feb 21 13:59:17 2021,1
26,Arne Hong,"3,776", ,Sun Feb 21 13:59:17 2021,1
27,Vladimir Kovacevic,"3,690", ,Sun Feb 21 13:59:17 2021,1
28,Anneli Madaj,"3,655", ,Sun Feb 21 13:59:17 2021,1
29,Fabiano Angelo,"3,570", ,Sun Feb 21 13:59:17 2021,1
30,Martin Stensen,"3,505", ,Sun Feb 21 13:59:17 2021,1
31,Allen Nash,"3,435", ,Sun Feb 21 13:59:17 2021,1
32,Luigi Staino,"3,336", ,Sun Feb 21 13:59:17 2021,1
33,Philippe Dupont,"3,266", ,Sun Feb 21 13:59:17 2021,1
34,Bob Goossens 1,"3,133", ,Sun Feb 21 13:59:17 2021,1
35,Gareth mckevitt,"3,100", ,Sun Feb 21 13:59:17 2021,1
36,Melly Yannik,"3,005", ,Sun Feb 21 13:59:17 2021,1
37,Macke karlsson,"2,959", ,Sun Feb 21 13:59:17 2021,1
38,Knut Pedersen,"2,953", ,Sun Feb 21 13:59:17 2021,1
39,Selvig,"2,915", ,Sun Feb 21 13:59:17 2021,1
40,William Olsen o,"2,865", ,Sun Feb 21 13:59:17 2021,1
41,Soglo,"2,820", ,Sun Feb 21 13:59:17 2021,1
42,Dave Dingle,"2,699", ,Sun Feb 21 13:59:17 2021,1
43,Fabien 1982,"2,662", ,Sun Feb 21 13:59:17 2021,1
44,eran abu,"2,635", ,Sun Feb 21 13:59:17 2021,1
45,Phil Swift,"2,606", ,Sun Feb 21 13:59:17 2021,1
46,Bas Vossen,"2,578", ,Sun Feb 21 13:59:17 2021,1
47,Lasse Bidtnes,"2,530", ,Sun Feb 21 13:59:17 2021,1
48,Ozolins,"2,525", ,Sun Feb 21 13:59:17 2021,1
49,Valdis Dzirnavnieks,"2,505", ,Sun Feb 21 13:59:17 2021,1
1,Kai svendsen,985, ,Sun Feb 21 14:56:05 2021,2
2,Erik salve Salvesen,555, ,Sun Feb 21 14:56:05 2021,2
3,Johan Blake Jr,425, ,Sun Feb 21 14:56:05 2021,2
4,lleveller,390, ,Sun Feb 21 14:56:05 2021,2
5,Allen Nash,335, ,Sun Feb 21 14:56:05 2021,2
6,BunnyNorway,265, ,Sun Feb 21 14:56:05 2021,2
7,Fernando Nits,265, ,Sun Feb 21 14:56:05 2021,2
8,Martin Stensen,245, ,Sun Feb 21 14:56:05 2021,2
9,Alexboy,245, ,Sun Feb 21 14:56:05 2021,2
10,Hildy12,200, ,Sun Feb 21 14:56:05 2021,2
11,Philippe Dupont,185, ,Sun Feb 21 14:56:05 2021,2
12,Ivica Kiwi,120, ,Sun Feb 21 14:56:05 2021,2
13,Matej Pittermann,55, ,Sun Feb 21 14:56:05 2021,2
14,Valdis Dzirnavnieks,45, ,Sun Feb 21 14:56:05 2021,2
15,Vladimir Kovacevic,25, ,Sun Feb 21 14:56:05 2021,2
16,Ozolins,0, ,Sun Feb 21 14:56:05 2021,2
17,Patrick Zaglauer,0, ,Sun Feb 21 14:56:05 2021,2
18,Geoff Aitken,0, ,Sun Feb 21 14:56:05 2021,2
19,Thanasis Lamprinos,0, ,Sun Feb 21 14:56:05 2021,2
20,Jesse McDermott,0, ,Sun Feb 21 14:56:05 2021,2
21,Tommy Ryan,0, ,Sun Feb 21 14:56:05 2021,2
22,Arne Hong,0, ,Sun Feb 21 14:56:05 2021,2
23,Gareth mckevitt,0, ,Sun Feb 21 14:56:05 2021,2
24,Frankie Wilde,0, ,Sun Feb 21 14:56:05 2021,2
25,Knut Pedersen,0, ,Sun Feb 21 14:56:05 2021,2
26,Perry Ben,0, ,Sun Feb 21 14:56:05 2021,2
27,Anneli Madaj,0, ,Sun Feb 21 14:56:05 2021,2
28,Melly Yannik,0, ,Sun Feb 21 14:56:05 2021,2
29,Fabien 1982,0, ,Sun Feb 21 14:56:05 2021,2
30,Macke karlsson,0, ,Sun Feb 21 14:56:05 2021,2
31,Sigg Luggurd,0, ,Sun Feb 21 14:56:05 2021,2
32,Bse90,0, ,Sun Feb 21 14:56:05 2021,2
33,Phil Swift,0, ,Sun Feb 21 14:56:05 2021,2
34,Luigi Staino,0, ,Sun Feb 21 14:56:05 2021,2
35,Norbert Jochymski,0, ,Sun Feb 21 14:56:05 2021,2
36,Scott Andrew Rogers,0, ,Sun Feb 21 14:56:05 2021,2
37,Yoni Navon,0, ,Sun Feb 21 14:56:05 2021,2
38,Bas Vossen,0, ,Sun Feb 21 14:56:05 2021,2
39,Soglo,0, ,Sun Feb 21 14:56:05 2021,2
40,Raymond Haukas,0, ,Sun Feb 21 14:56:05 2021,2
41,DarkWin44,0, ,Sun Feb 21 14:56:05 2021,2
42,Lasse Bidtnes,0, ,Sun Feb 21 14:56:05 2021,2
43,eran abu,0, ,Sun Feb 21 14:56:05 2021,2
44,Dave Dingle,0, ,Sun Feb 21 14:56:05 2021,2
45,Spine,0, ,Sun Feb 21 14:56:05 2021,2
46,Selvig,0, ,Sun Feb 21 14:56:05 2021,2
47,Bob Goossens 1,0, ,Sun Feb 21 14:56:05 2021,2
48,Fabiano Angelo,0, ,Sun Feb 21 14:56:05 2021,2
49,William Olsen o,0, ,Sun Feb 21 14:56:05 2021,2
